Name,SAP_pos_CDRH1,SAP_pos_CDRH2,SAP_pos_CDRH3,SAP_pos_CDRL1,SAP_pos_CDRL2,SAP_pos_CDRL3,SAP_pos_CDR,SAP_pos_Hv,SAP_pos_Lv,SAP_pos_Fv,SCM_neg_CDRH1,SCM_neg_CDRH2,SCM_neg_CDRH3,SCM_neg_CDRL1,SCM_neg_CDRL2,SCM_neg_CDRL3,SCM_neg_CDR,SCM_neg_Hv,SCM_neg_Lv,SCM_neg_Fv,SCM_pos_CDRH1,SCM_pos_CDRH2,SCM_pos_CDRH3,SCM_pos_CDRL1,SCM_pos_CDRL2,SCM_pos_CDRL3,SCM_pos_CDR,SCM_pos_Hv,SCM_pos_Lv,SCM_pos_Fv
dupilumab,1.7149533,0.40217763,24.21849,16.725628,1.8937565,4.460816,49.763123,56.477962,60.76931,118.12249,57.421997,12.463701,60.066658,71.72764,11.298835,94.614685,312.8134,490.4406,444.74023,936.99274,44.470398,16.202597,301.6911,87.21355,74.125336,35.69559,563.21136,1260.6445,1066.1566,2312.9258
eculizumab,10.031126,2.121453,15.099878,6.3246355,4.314202,5.350809,44.621437,60.090565,38.88869,99.62669,19.059744,12.48653,120.86914,112.117714,41.752502,124.406975,446.54886,584.0333,625.652,1215.0842,65.1734,33.264454,45.760136,22.253008,15.62528,15.478769,188.59363,975.56335,915.41504,1873.227
efalizumab,1.7671841,0.14941342,23.043587,2.081498,2.906135,4.3144727,34.385845,63.365093,32.150906,95.90011,4.791928,23.126745,26.63093,31.465212,7.815941,87.6804,180.59802,266.37833,322.21835,587.57605,64.679794,4.769237,70.80406,113.99746,52.239666,57.97104,362.9552,1123.9568,1226.3917,2322.3892
eldelumab,0.61802816,7.661787,18.753832,1.8366479,0.47941658,7.05449,36.132034,55.54408,39.928185,96.369576,49.93081,63.850525,187.85141,44.821537,11.160895,98.86095,461.38452,642.8396,389.72842,1031.9742,26.118862,9.077253,27.191717,27.987192,53.891045,22.100338,159.51651,1047.2902,1054.5435,2083.4739
elotuzumab,2.368195,0.10887389,8.287422,5.8565917,2.7986982,6.0094757,26.024277,60.09406,39.710823,100.020134,88.1998,75.17941,139.25352,119.90889,5.435953,112.952614,552.0615,715.2583,529.90594,1227.3688,34.281113,-1.8917266,27.423717,18.795742,80.58106,19.64005,167.74748,848.22253,1075.8228,1907.5646
emibetuzumab,2.2130046,0.3614968,4.9297905,7.7983437,3.7491033,7.5439134,27.562168,31.889427,44.05148,76.54051,57.074314,8.699639,28.202911,43.530666,17.271467,54.126404,222.38786,386.54938,363.00937,746.06177,32.921413,128.19647,38.729527,26.186192,37.035763,46.055244,311.92282,1259.0831,1037.7014,2272.9517
enokizumab,5.4978533,2.1572332,10.65175,4.1792927,5.6970415,7.558268,37.03358,48.86135,40.90876,89.91812,80.02748,68.82271,190.18825,49.438885,11.260149,132.76413,546.06836,766.87384,423.53705,1189.9684,25.219183,7.0025735,25.999617,116.260895,67.229485,32.560993,267.16135,964.0869,1209.5162,2150.634
epratuzumab,2.8009837,2.6410708,11.773212,7.8158765,2.4697726,6.3178806,34.237587,45.787292,41.486347,86.782875,44.499577,89.8772,37.8836,52.966656,12.180486,90.97267,324.1283,648.75824,374.8782,1018.8042,63.09264,9.206123,58.34729,161.41576,74.59067,24.316275,385.2579,946.26044,1225.9644,2149.6848
etrolizumab,7.3838496,2.1457071,4.1034894,2.1434958,4.291325,6.267017,26.503803,54.3078,35.289078,90.06793,5.2584934,3.933573,29.246675,182.44057,33.064365,112.06576,359.39172,260.12674,626.8768,868.98376,62.11643,37.232193,51.29055,11.883726,55.457993,30.21742,248.49786,1230.1156,1015.1963,2212.3506
evolocumab,4.166975,5.075541,4.051908,4.809637,1.1030254,3.069103,22.972166,38.53068,30.854298,69.25891,17.838154,19.11241,36.981712,73.16831,11.932178,86.000015,263.45584,379.13733,427.8542,808.56824,54.47962,20.08811,16.57402,44.20971,65.151184,24.094261,214.54707,1191.2047,992.6436,2161.5112
farletuzumab,2.6193728,4.368216,7.7196484,1.6483661,3.4643836,14.820254,36.23174,52.849743,45.119705,97.96441,16.665936,13.853308,64.1147,62.807316,8.854291,96.835014,288.941,371.70306,431.03873,807.52356,37.7187,10.315958,49.097115,36.663933,39.927464,39.109467,207.30775,1063.5297,1056.7404,2092.055
fasinumab,4.2382154,1.0153773,15.605885,1.3338506,7.3627276,6.0977273,37.53685,57.995434,36.908978,95.28683,211.03288,245.77936,120.27629,39.751034,20.898561,109.92141,755.3604,1300.1854,406.28406,1696.7495,-7.357273,-2.670549,22.296753,64.37146,43.672344,46.64585,159.34601,941.36255,1192.7229,2121.644
fezakinumab,2.014975,4.2777615,7.3280005,3.8620677,0.65545636,6.032387,25.332804,55.065365,48.105793,103.9743,21.951426,15.264446,281.46643,64.05782,36.235588,100.904915,519.5914,624.1328,553.1598,1184.3779,57.432358,49.267357,20.578707,55.27099,44.11607,36.200665,270.2463,1342.4742,846.65515,2171.5269
ficlatuzumab,3.14242,-0.2649791,11.94327,5.43079,1.3579379,6.5285354,29.592337,52.693863,43.00143,94.59187,22.68062,-0.21879466,84.20712,99.52131,20.407806,96.446594,338.9288,431.29205,597.44604,1022.25916,55.12293,80.05794,32.55193,28.087944,40.085255,30.883059,268.80978,1095.1442,825.98157,1886.1521
figitumumab,2.8077688,0.38701627,25.314833,0.4208484,3.3002033,5.784751,36.958977,63.018738,36.72824,99.01735,34.874084,11.344674,171.73615,26.519657,-1.5741653,90.87513,350.9956,568.1325,332.08707,904.9989,44.910065,4.626883,85.10239,70.56833,157.66351,34.11112,402.83383,1090.9847,1413.8759,2484.3743
fletikumab,1.3780491,3.5354002,20.491331,0.22385247,2.3664,5.701221,33.90764,51.875896,31.539242,84.27356,35.606636,13.564706,307.40192,62.894646,69.55363,64.37737,568.55457,707.8671,423.15625,1140.2346,36.603584,31.792519,12.437136,25.456911,-3.4590201,32.368458,126.67758,1005.68604,1025.5616,2008.5814
foralumab,3.4450717,4.9836698,12.637461,2.3023114,0.6366029,7.610529,31.031948,58.578423,41.302696,99.48275,14.179795,22.648628,43.804337,68.76981,28.412983,63.067486,246.31837,250.58156,398.12903,647.6235,83.43307,49.566013,56.59302,16.65233,58.96592,89.021286,347.09088,1453.7556,1129.8115,2568.6973
fresolimumab,1.8576325,17.253744,23.124735,2.7813551,3.4287841,2.5803502,52.082787,74.62708,37.528103,112.35792,78.20708,106.05406,161.40335,83.486015,9.698129,149.22263,596.8144,778.7951,512.1812,1292.4941,11.404673,-1.3405808,6.5453467,20.740002,54.334625,15.193973,94.25775,963.71606,1019.7072,1959.2875
fulranumab,2.6183484,0.4920431,13.847691,0.7594822,2.4899292,4.999304,25.458435,62.91788,31.951685,96.74474,14.697849,-3.6615703,153.16211,61.852444,69.14188,68.59349,363.90765,462.68597,461.29633,916.14764,122.91143,114.840004,67.41267,19.435986,5.326651,30.600924,353.91248,1093.9808,937.8604,2007.4678
galiximab,2.0592873,1.579716,34.098495,3.6816602,2.404405,5.1894712,49.27052,82.25462,45.088898,128.79193,11.4938345,23.737434,125.1085,69.46032,12.377924,107.18331,361.44247,448.44614,502.41833,950.6511,54.495937,8.248749,96.18116,40.843956,98.88563,17.764751,314.76352,948.5179,883.8617,1797.4581
ganitumab,0.4604156,0.96716875,2.7621017,7.847955,2.0142314,5.658326,20.55893,38.710747,53.021545,91.93483,4.863002,1.4269663,98.20709,48.082127,18.467493,59.05487,233.92189,336.15158,345.14764,684.683,117.73981,67.60792,51.1164,130.11456,45.756817,56.828987,468.24307,1414.1136,1081.8904,2485.09
gantenerumab,1.8275065,0.14918634,14.44677,1.8666892,0.6763862,7.407627,27.211496,58.052876,38.824055,97.30199,26.610859,6.4192915,19.119028,41.184677,4.926136,64.97405,155.89638,284.35522,347.9664,634.0818,59.852905,67.361885,274.09714,47.569984,84.78538,44.238064,592.5199,1387.4938,1139.9598,2487.5688
gemtuzumab,3.594578,5.004914,8.820009,9.23677,1.5844526,6.1557426,34.353237,51.916958,38.91083,91.11772,51.220757,24.043037,20.70099,105.176865,14.514153,100.9243,327.7332,441.90512,482.71783,923.4735,5.199152,13.059954,36.93591,52.825153,46.844498,21.41908,172.89479,989.7793,1037.6143,2008.0599
gevokizumab,2.090876,2.2837749,9.693629,2.2668571,4.9129224,8.837194,30.54725,49.86192,37.241924,88.66178,43.28096,107.72363,48.893986,93.17874,-0.67628103,70.21751,367.08374,523.3,417.42554,934.82623,40.159416,0.069204405,102.128845,62.318665,144.25807,43.379948,391.7393,1166.5297,1373.544,2519.3105
girentuximab,1.3321607,4.350628,7.729354,3.6978385,1.8139578,6.391388,27.146608,54.05444,34.913017,89.40184,25.073204,40.626465,25.122202,54.377953,4.762368,85.27684,242.5583,367.3379,395.61063,773.094,71.56839,17.654585,115.22328,32.386047,63.677776,36.95591,336.64557,1258.8795,990.81036,2211.6765
glembatumumab,6.5908604,3.5212576,8.6754675,0.76078486,1.0562474,8.380501,29.097565,54.47723,37.689026,92.93083,28.82984,11.582023,43.378387,86.58885,9.35793,80.60279,269.42755,300.6028,390.06586,686.1436,51.9563,21.49401,45.334465,16.247002,76.10463,49.27166,257.8492,1325.4907,1238.3704,2537.6372
golimumab,9.645024,2.2655606,23.064241,6.4641986,0.9875251,8.052277,49.34542,61.487507,48.577274,109.81341,24.588537,24.485287,51.266453,67.45537,21.79643,65.4904,269.41733,353.16406,412.5841,774.3301,45.50166,18.139217,136.5931,18.756721,71.84088,66.38673,359.8916,1329.421,1113.3817,2426.3936
guselkumab,3.0273547,2.3529887,14.747895,2.7390602,1.8388914,11.31807,36.31667,58.4568,54.440334,113.553375,22.583065,29.855059,54.83833,35.663445,-2.903327,89.57268,238.1714,412.8413,375.82657,782.62946,57.03481,21.433506,56.05629,70.61719,123.05641,46.468277,372.62894,858.4237,988.0507,1818.2057
ibalizumab,2.0798092,2.5853686,11.712654,7.1001353,1.7570084,5.3886504,31.339443,49.168747,43.539738,92.50186,46.33543,102.02926,103.33638,55.810017,12.795548,93.487564,420.47433,799.0709,421.19217,1221.7065,47.617523,-5.462258,82.15488,115.626884,74.42662,42.73668,350.2602,973.3484,1074.8757,2034.0656
imgatuzumab,2.397598,3.316673,11.288288,2.3790848,2.3219821,5.2844176,28.255213,44.937202,32.5563,76.574646,30.03013,4.812554,26.460352,27.10401,14.815244,55.36133,171.94469,326.08365,309.62616,642.1536,44.277397,52.570858,107.18402,85.59891,67.8225,60.288956,423.1142,1194.8619,1263.0923,2426.5564
infliximab,8.222817,2.8380492,11.414651,4.3154106,2.673587,5.9085646,36.578148,50.778774,44.486637,97.569046,31.339167,12.853219,25.414717,30.049282,35.91859,49.305992,183.0622,471.72537,471.3812,945.1496,52.31182,74.92362,82.05307,72.28048,45.87951,88.02395,428.91635,1007.11115,848.1045,1808.066
inotuzumab,2.3207927,3.6069698,13.379264,4.847758,3.6143742,2.5776262,31.657974,55.224007,37.56944,92.77963,8.279598,18.479925,46.755676,55.961105,5.6340346,47.598103,195.1413,376.51016,299.35452,670.77966,114.82088,38.85179,74.072586,75.01966,60.721493,70.46542,434.58813,1427.765,1147.5474,2552.1372
ipilimumab,2.6729598,2.2971482,17.149084,2.8703027,5.465313,2.750628,33.243385,60.8597,37.929367,99.50815,32.28769,35.44227,40.808437,39.916687,10.029051,83.51452,255.09648,379.1402,382.2392,759.5166,44.348324,7.835209,28.579706,31.034805,57.94244,25.42379,188.33238,1191.522,1076.4944,2247.2383
ixekizumab,1.6476151,7.35275,18.821648,3.941281,6.587144,6.96397,47.34801,61.323593,56.329483,117.506226,101.0761,83.74985,51.682953,4.851046,2.1886895,30.681238,243.71307,609.3243,170.30637,767.2043,18.892323,9.778756,76.98323,322.43118,144.84787,82.57921,660.7671,1048.2301,1567.5704,2586.2576
lampalizumab,2.7347946,2.9954252,1.4134918,2.1280127,5.4694147,7.2369285,23.644861,51.317585,40.156483,92.372734,20.563267,72.61567,78.76254,369.27744,50.35737,241.771,817.4628,600.1946,1026.518,1625.718,67.57347,3.9717734,39.84938,-20.838491,64.273125,1.9596801,140.81165,1054.4021,1031.9602,2061.3074
lebrikizumab,4.5475326,2.2071013,16.718966,4.336662,4.5509763,1.3154637,33.89116,66.84017,39.03896,106.18777,32.823753,9.909096,114.970665,105.94865,42.38578,123.72365,464.30704,467.37067,594.68146,1063.6128,38.163,39.42821,31.65949,37.72802,22.361315,27.01442,198.00836,1089.9728,794.3135,1858.5715
lenzilumab,1.5436082,-0.4152059,13.2323675,1.1221541,0.7877562,3.2234738,19.639767,46.692825,33.675465,80.79161,13.160641,1.2333834,13.084747,22.02875,8.444783,7.575512,56.402344,200.97905,176.94814,394.18222,92.790794,93.866264,219.10281,68.29159,66.827576,129.78683,686.9006,1678.5573,1313.6057,2956.564
lintuzumab,2.933454,5.2608485,4.394546,8.389915,1.3887823,5.1944857,26.925133,43.58232,36.477146,80.16006,82.6217,63.03534,3.3165944,132.97983,17.408182,104.23164,410.7616,521.1488,531.63525,1048.5409,22.757414,9.401381,69.49323,29.572882,37.344612,28.29499,191.6835,1043.6411,1019.47095,2040.9269
lirilumab,6.984074,16.630093,17.481958,2.1815875,0.14952317,6.4292336,50.210533,66.31057,41.54458,108.50374,48.048786,56.206787,199.36984,99.4725,43.48577,94.950966,553.7305,704.87775,518.0826,1238.4546,29.329319,11.664663,40.417274,10.362697,51.402927,47.859512,184.76051,1043.1116,1028.0942,2051.3896
lumiliximab,6.8362517,1.6134428,1.4345326,6.0971694,4.3561893,4.9329553,25.955454,53.39678,37.881027,91.50628,35.56366,43.008293,39.557358,70.952034,14.249183,44.450184,264.08875,425.38992,407.44327,837.028,53.645996,13.4594555,15.5225115,47.992096,30.352512,96.8724,248.7739,1093.3362,1109.3455,2191.3254
matuzumab,1.3753209,-0.13443851,9.521967,2.824039,3.3544152,4.0958524,22.103477,42.36933,33.964443,77.2469,59.321598,-2.680229,226.69307,103.06102,47.636143,65.358246,518.07983,649.6887,515.89087,1165.5995,28.06814,57.869995,39.422966,10.449141,16.82231,65.28146,224.6092,1049.0636,1035.2164,2078.4043
mavrilimumab,3.7007961,0.6277319,16.47552,5.1893144,1.1861547,6.7815557,35.447952,54.14034,49.78218,104.632515,206.36188,245.72234,93.94342,46.17927,-17.536058,111.33534,690.83844,1244.3534,371.47217,1594.784,5.6910563,-1.4073868,31.50078,89.79765,184.07329,27.017374,330.35556,935.2572,1187.5775,2089.3398
mepolizumab,2.600893,2.2833035,10.514877,4.0656366,0.80156094,6.8230395,28.037363,55.340275,42.12015,97.897766,11.164847,6.0070157,50.879383,31.192108,16.839842,73.142235,188.03023,356.24777,363.78088,715.2519,80.53516,34.83681,94.52842,168.8485,94.52222,56.615566,534.9547,1224.167,1198.1504,2406.0295
mogamulizumab,8.648283,4.276869,4.917887,8.29626,2.4879978,12.9744005,44.450222,61.263935,63.57618,124.989075,39.77323,18.55495,43.888134,78.29895,9.882647,94.266754,307.58813,460.24353,430.887,893.9373,63.161552,14.635109,84.57678,110.826775,79.9888,15.682149,366.82846,1199.9097,1063.693,2251.8425
motavizumab,3.4346418,2.1139884,19.713902,2.804128,4.106849,6.8940263,40.103436,57.863754,39.11932,96.5002,59.419823,55.651672,183.59058,51.2277,28.273588,83.9158,483.0219,624.1448,429.72723,1038.6477,53.612385,28.261717,23.698565,50.51039,51.754124,52.39828,264.1544,1248.6659,1095.2145,2311.7554
muromonab,1.7566361,1.811595,4.642773,2.3846004,3.8084724,2.8890197,19.039406,32.866547,35.08447,68.10209,24.549805,-0.03006915,176.55258,45.737217,13.373012,46.271885,316.78073,484.6856,315.02103,814.56506,83.33446,83.84895,22.56865,23.726978,82.52148,39.087852,335.05078,1074.544,1088.8784,2139.5122
